filename,description
Leave this one alone (NOT PART OF EXCEL)/Pair 47/Ellen Mary Cassatt in a Pink Dress_Mary Cassatt.jpg,"a painting of a little girl sitting in a chair
"
Leave this one alone (NOT PART OF EXCEL)/Pair 47/Screenshot 2025-02-17 at 11.41.19 AM.png,"a drawing of a woman with her arms crossed
"
Leave this one alone (NOT PART OF EXCEL)/Pair 31/Copy of Man with a Turban(2001).jpg,"a painting of a man wearing a turban
"
Leave this one alone (NOT PART OF EXCEL)/Pair 31/Screenshot 2025-02-17 at 11.22.26 AM.png,"a drawing of a man wearing a hat
"
Leave this one alone (NOT PART OF EXCEL)/Pair 40/Comb Duchamp_marcel duchamp.jpg,"a comb and a case with an orange case
"
Leave this one alone (NOT PART OF EXCEL)/Pair 40/Screenshot 2025-02-17 at 11.37.27 AM.png,"a drawing of a comb and a pair of scissors
"
Leave this one alone (NOT PART OF EXCEL)/Pair 44/grandcamp.png,"a line drawing of a mountain with a waterfall
"
Leave this one alone (NOT PART OF EXCEL)/Pair 36/Screenshot 2025-02-17 at 11.30.35 AM.png,"a drawing of a man's face with a mustache
"
Leave this one alone (NOT PART OF EXCEL)/Pair 36/jesus_george renoult.jpg,"a painting of jesus with a beard and a crown
"
Leave this one alone (NOT PART OF EXCEL)/Pair 46/tableau.png,"a painting with red, yellow, and black squares
"
Leave this one alone (NOT PART OF EXCEL)/Pair 46/Screenshot 2025-02-17 at 11.35.56 AM.png,"a drawing of a person standing in front of a building
"
Leave this one alone (NOT PART OF EXCEL)/Pair 8/Screenshot 2025-02-17 at 10.51.53 AM.png,"a drawing of houses with a line drawn on them
"
Leave this one alone (NOT PART OF EXCEL)/Pair 8/Houses Under Dark Clouds_Egon Schiele.jpeg,"a painting of houses on the shore
"
Leave this one alone (NOT PART OF EXCEL)/Pair 5/Claude monet Bridge over a  pond of water lilies.jpg,"a painting of a bridge over a pond of water lilies
"
Leave this one alone (NOT PART OF EXCEL)/Pair 5/Screenshot 2025-02-17 at 10.43.25 AM.png,"a drawing of a bridge with a line drawn on it
"
Leave this one alone (NOT PART OF EXCEL)/Pair 24/Starry Night.png,"a drawing of a castle with a large spiral
"
Leave this one alone (NOT PART OF EXCEL)/Pair 24/vincent van gho _ starry night.jpg,"the starry night by person
"
Leave this one alone (NOT PART OF EXCEL)/Pair 10/CHILD.png,"a painting of a boy with curly hair
"
Leave this one alone (NOT PART OF EXCEL)/Pair 10/Screenshot 2025-02-17 at 11.00.25 AM.png,"a drawing of a woman with curly hair
"
Leave this one alone (NOT PART OF EXCEL)/Pair 25/Soft Hard.png,"a drawing of a triangle, a triangle, and a triangle
"
Leave this one alone (NOT PART OF EXCEL)/Pair 25/Soft Hard_wassily kandinsky.jpg,"a painting of a triangle
"
Leave this one alone (NOT PART OF EXCEL)/Pair 3/Screenshot 2025-02-17 at 10.33.32 AM.png,"a drawing of a man walking on a beach
"
Leave this one alone (NOT PART OF EXCEL)/Pair 3/Heroic Symbols – Anselm Kiefer (1969).jpeg,"a drawing of a man standing on top of a hill
"
Leave this one alone (NOT PART OF EXCEL)/Pair 32/Screenshot 2025-02-17 at 11.28.00 AM.png,"a drawing of a square with a line drawn around it
"
Leave this one alone (NOT PART OF EXCEL)/Pair 32/download (2).jpg,"a square with yellow and gray on a white background
"
Leave this one alone (NOT PART OF EXCEL)/Pair 9/Screenshot 2025-02-17 at 10.52.47 AM.png,"two men standing next to each other in a drawing
"
Leave this one alone (NOT PART OF EXCEL)/Pair 9/Screenshot 2025-02-17 at 10.54.18 AM.png,"a drawing of two people standing next to each other
"
Leave this one alone (NOT PART OF EXCEL)/Pair 16/Womans face covered by a rose.png,"a drawing of a person with a flower on their head
"
Leave this one alone (NOT PART OF EXCEL)/Pair 16/Womans face covered by a rose Rene Magritte.jpg,"a painting of a woman with a rose in her mouth
"
Leave this one alone (NOT PART OF EXCEL)/Pair 43/Abstract Painting_Gerard Richter.jpg,"an abstract painting with many colors and lines
"
Leave this one alone (NOT PART OF EXCEL)/Pair 43/Abstract Painting.png,"a drawing of a line with a few lines
"
Leave this one alone (NOT PART OF EXCEL)/Pair 13/Painting.png,"an elephant is shown in a drawing
"
Leave this one alone (NOT PART OF EXCEL)/Pair 13/Screenshot 2025-02-17 at 11.19.51 AM.png,"an elephant is drawn in a line on a white background
"
Leave this one alone (NOT PART OF EXCEL)/Pair 37/Chemin De Village.png,"a painting of a house with a fence and clothes hanging on it
"
Leave this one alone (NOT PART OF EXCEL)/Pair 37/Screenshot 2025-02-17 at 11.29.45 AM.png,"a drawing of a tree stump with leaves on it
"
Leave this one alone (NOT PART OF EXCEL)/Pair 7/Camals Hump_Edward Hopper.jpg,"a painting of a road in a green field
"
Leave this one alone (NOT PART OF EXCEL)/Pair 7/Screenshot 2025-02-17 at 10.50.19 AM.png,"a line drawing of a mountain with trees and a river
"
Leave this one alone (NOT PART OF EXCEL)/Pair 21/Rythme Couleur.png,"a drawing of a circle with two lines
"
Leave this one alone (NOT PART OF EXCEL)/Pair 21/Rythme Couleur_Sonia Delaunay.jpg,"an abstract painting with a circle and a circle
"
Leave this one alone (NOT PART OF EXCEL)/Pair 42/The tree of life.png,"a drawing of a tree with a spiral design
"
Leave this one alone (NOT PART OF EXCEL)/Pair 42/the tree of life_gustav kilimt.jpg,"the tree of life by gustav klimt
"
Leave this one alone (NOT PART OF EXCEL)/Pair 45/The Black Fish (1942) .png,"a painting of a fish and a plate on a table
"
Leave this one alone (NOT PART OF EXCEL)/Pair 45/The Black Fish.png,"a fish and an apple are drawn in a line
"
Leave this one alone (NOT PART OF EXCEL)/Pair 17/Per capita.png,"a drawing of a crown on a square
"
Leave this one alone (NOT PART OF EXCEL)/Pair 33/Screenshot 2025-02-17 at 11.30.17 AM.png,"a drawing of a house and trees
"
Leave this one alone (NOT PART OF EXCEL)/Pair 33/house-in-the-wall-1911.jpg!Large.jpg,"a drawing of a house and a horse drawn cart
"
Leave this one alone (NOT PART OF EXCEL)/Pair 18/Premier Disque.png,"a circle with a line through it
"
"Leave this one alone (NOT PART OF EXCEL)/Pair 18/-Robert_Delaunay,_1913,_Premier_Disque,__Private_collection.jpg","a painting with a circle of colors on it
"
Leave this one alone (NOT PART OF EXCEL)/Pair 49/Floating a canoe nandalal bose.jpg,"a drawing of two people on a surfboard
"
Leave this one alone (NOT PART OF EXCEL)/Pair 49/Screenshot 2025-02-17 at 11.55.26 AM.png,"a drawing of a person standing in front of a tall building
"
Max Ernst/Ohne Titel Max Ernst.jpg,"a painting of a bird on a boat with a sail
"
Max Ernst/Arizona landscape.jpg,"a painting of a desert landscape with a man standing on a hill
"
Max Ernst/Ensigne pour une ecole de pirates Max Ernst.jpg,"a painting of a sailboat on the water
"
Max Ernst/Ubu Imperator_Max Ernst(1).jpg,"a painting of a man holding a red object
"
Max Ernst/Coresspondence Max Ernst.jpg,"a blue folder with a picture of a man and a woman
"
Max Ernst/Ubu Imperator_Max Ernst(2).jpg,"a painting of a man holding a red object
"
Max Ernst/Prompt tooth Max Ernst.jpg,"a collage of various paintings and drawings
"
Max Ernst/Cassopeia Max Ernst.jpg,"a silver plate with a design on it
"
Max Ernst/Beyond painting Max Ernst.jpeg,"a painting of a group of people with various objects
"
Max Ernst/Again Loplop Bird Superior Max Ernst.jpg,"a drawing of a man standing in front of a square
"
Max Ernst/Arizona landscape(1).jpg,"a painting of a desert landscape with a man standing on a hill
"
Max Ernst/The bird the cage and the forest Max Earnest.jpeg,"a painting of a man and woman with a bird
"
Max Ernst/Deux personnages Max Ernst.jpg,"a drawing of a man with a hat and a woman with a hat
"
Max Ernst/The years in exile Max Ernst.jpeg,"the cover of the book, the art of the surrealist painter, person
"
Max Ernst/Tayas sun.jpg,"a painting of a sunflower on a blue background
"
Max Ernst/Amathusia Max Ernst.jpg,"a silver plate with a smiling face on it
"
Max Ernst/Young_Man_Crossing_a_RiverMax_Ernst.jpg,"a painting of three people standing on top of a hill
"
Max Ernst/Study For an eclipse Max Ernst.jpg,"a painting with a red and blue figure
"
Max Ernst/Annae Alistiae.jpg,"a book cover with a bird on it
"
Max Ernst/Paysage Max Ernst.jpg,"a black and white painting of a spiral with lightning
"
Max Ernst/PaysageAvecLacEtChimeras Max Ernst.jpg,"a painting of a landscape with rocks and trees
"
Max Ernst/PaysageAvecLacEtChimeras Max Ernst(1).jpg,"a painting of a landscape with rocks and trees
"
Max Ernst/Maximliana Max Ernst.jpg,"a painting of a dog sitting on a rug
"
Max Ernst/Ubu Imperator_Max Ernst.jpg,"a painting of a man holding a red object
"
Max Ernst/Birds in danger Max Ernst.jpg,"a drawing of a bird with a green and blue body
"
Max Ernst/The Barbarians Max Ernst.jpeg,"a painting of two monsters fighting
"
Max Ernst/Max_Ernst_Surrealism and the imnipotence of dreams.jpeg,"a painting of a hand holding a knife and a bird
"
Jackson Pollock/number-23(1).jpg,"an abstract painting with black and white lines
"
Jackson Pollock/peddler-c-1930-1935.jpg!Large.jpg,"a painting of people on a horse drawn cart
"
Jackson Pollock/the-flame-1938(1).jpg,"a painting of a man lying in flames
"
Jackson Pollock/the-she-wolf(1).jpg!Large.jpg,"a painting with a horse and a man in it
"
Jackson Pollock/shimmering-substance(1).jpg!Large.jpg,"an abstract painting with many colors and shapes
"
Jackson Pollock/circumcision-january(1).jpg,"an abstract painting with many different colors and shapes
"
Jackson Pollock/pollock.jpg!Large.jpg,"an abstract painting with black, white, green and orange paint
"
Jackson Pollock/man-with-knife-1940(1).jpg!Large.jpg,"a painting of two men fighting with each other
"
Jackson Pollock/going-west.jpg!Large.jpg,"a painting of people riding horses in a desert
"
Jackson Pollock/untitled(3).jpg,"a drawing of a painting with a bird in the middle
"
Jackson Pollock/no-1-1948(1).jpg!Large.jpg,"an abstract painting with many different colors
"
Jackson Pollock/the-key(1).jpg!Large.jpg,"a painting with various objects and people in it
"
Jackson Pollock/number-4-gray-and-red-1948.jpg,"an abstract painting with red and black ink
"
Jackson Pollock/untitled(5).jpg!Large.jpg,"a brown leather piece with drawings on it
"
Jackson Pollock/full-fathom-five(1).jpg!Large.jpg,"an abstract painting with orange and black paint
"
Jackson Pollock/number-3(3).jpg!Large.jpg,"an abstract painting with many different colors and shapes
"
Jackson Pollock/enchanted-forest-1947.jpg,"an abstract painting with black and white paint
"
Jackson Pollock/cathedral-1947.jpg!Large.jpg,"an abstract painting with black and white paint
"
Jackson Pollock/composition-with-pouring-ii(1).jpg!Large.jpg,"an abstract painting with blue, red and black paint
"
Jackson Pollock/pattern(1).jpg!Large.jpg,"an abstract painting with many colors and shapes
"
Jackson Pollock/miners-ca-1934-1938.jpg!Large.jpg,"a drawing of people in a train station
"
Jackson Pollock/landscape-with-steer-1937(3).jpg,"a drawing of a man and a woman in the water
"
Jackson Pollock/circle-1941(1).jpg,"a painting of a circular painting with various animals
"
Jackson Pollock/the-tea-cup(1).jpg!Large.jpg,"an abstract painting with a table and chairs
"
Jackson Pollock/eyes-in-the-heat-1946(2).jpg!Large.jpg,"an abstract painting with green, yellow and orange colors
"
Jackson Pollock/alchemy-1947(2).jpg,"an abstract painting with many different colors and shapes
"
Jackson Pollock/mask(1).jpg,"a painting with a woman's face and a bird on it
"
Jackson Pollock/untitled-1941(2).jpg,"a drawing of a woman with a sword and a sword
"
Jackson Pollock/lucifer-1947.jpg!Large.jpg,"a painting with many different colors and shapes
"
Jackson Pollock/untitled-o-connor-thaw-771(1).jpg,"a drawing of a woman with a child on her back
"
Jackson Pollock/moon-woman-1942(1).jpg!Large.jpg,"a painting with a woman and a man in it
"
Jackson Pollock/animals-and-figures(1).jpg,"a drawing of people and animals in various positions
"
Jackson Pollock/25819671496-4f0669217e-b.jpg!Large.jpg,"a painting with black and red paint on it
"
Jackson Pollock/dc30110d-dc5a-40cd-9345-d49e74059b13.jpg!Large.jpg,"an abstract painting with yellow, black and red paint
"
Jackson Pollock/stenographic-figure(1).jpg!Large.jpg,"a painting with abstract shapes and colors
"
Jackson Pollock/reflections-of-the-big-dipper-1947.jpg,"an abstract painting with many different colors
"
Jackson Pollock/sheet-of-studies-1941(1).jpg,"a drawing of various animals and birds on paper
"
Jackson Pollock/number-13a-arabesque-1948.jpg,"an abstract painting with white and black lines
"
Jackson Pollock/the-moon-woman-cuts-the-circle-1943.jpg!Large.jpg,"a painting with a blue background and red and white designs
"
Jackson Pollock/male-and-female(1).jpg!Large.jpg,"a painting with a man standing in front of a clock
"
Jackson Pollock/untitled-o-connor-thaw-770(1).jpg,"a drawing of a woman and a man in a room
"
Jackson Pollock/landscape-with-steer-1937(2).jpg,"a painting with a red and black background
"
Jackson Pollock/bird-1941(1).jpg,"a painting with a bird on top of a skull
"
Jackson Pollock/totem-lesson-2-1945(1).jpg!Large.jpg,"a painting with a black background and various animals
"
Jackson Pollock/mural.jpg!Large.jpg,"a painting with many different colors and shapes
"
Jackson Pollock/blue-moby-dick(1).jpg!Large.jpg,"a painting with various abstract shapes and colors
"
Jackson Pollock/number-19.jpg!Large.jpg,"an abstract painting with black, white and red paint
"
Jackson Pollock/untitled-1944(1).jpg!Large.jpg,"an abstract painting with many colors and shapes
"
Jackson Pollock/galaxy-1947.jpg!Large.jpg,"an abstract painting with many different colors and shapes
"
Jackson Pollock/birth(1).jpg!Large.jpg,"an abstract painting with a large black and white figure
"
Jackson Pollock/untitled(4).jpg!Large.jpg,"a painting with a man and woman in the center
"
Jackson Pollock/figures-in-a-landscape(1).jpg,"a black and white drawing of a woman and a man
"
Wassily Kandinsky/Composition VII_wassily kandinsky.jpg,"an abstract painting with many different colors and shapes
"
Wassily Kandinsky/Contrasting Sounds_wassily kandinsky.jpg,"an abstract painting with a sun, a circle and a bird
"
Wassily Kandinsky/Playful Rhythms_wassily kandinsky.jpg,"an abstract painting with circles, lines and circles
"
Wassily Kandinsky/Blue Segment_wassily kandinsky.jpg,"a painting of a bird flying
"
Wassily Kandinsky/Upward_wassily kandinsky.jpg,"an abstract painting with a yellow and green background
"
Wassily Kandinsky/Composition V_wassily kandinsky.jpg,"a painting with abstract shapes and colors
"
Wassily Kandinsky/Yellow-Red-Blue_wassily kandinsky.jpg,"the person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person"
Wassily Kandinsky/Sky Blue_wassily kandinsky.jpg,"a painting with many different colored objects in the sky
"
Wassily Kandinsky/Colorful Ensemble_wassily kandinsky.jpg,"a painting with many different colored circles and shapes
"
Wassily Kandinsky/Delicate Tension_wassily kandinsky.jpg,"an abstract painting with geometric shapes and lines
"
Wassily Kandinsky/Circles in a Circle_wassily kandinsky.jpg,"a painting of a circle with circles and circles
"
Wassily Kandinsky/Composition IV_wassily kandinsky.jpg,"an abstract painting with a large bird and a large bird
"
Wassily Kandinsky/Black Grid_wassily kandinsky.jpg,"an abstract painting with various shapes and colors
"
Wassily Kandinsky/Tranquil Sounds_wassily kandinsky.jpg,"a painting with geometric shapes and colors
"
Wassily Kandinsky/Improvisation 28_wassily kandinsky.jpg,"a painting with abstract shapes and colors
"
Wassily Kandinsky/Color Study Squares with Concentric Circles_wassily kandinsky.jpg,"a painting of colorful circles on a square background
"
Wassily Kandinsky/Composition X_wassily kandinsky.jpg,"a painting with abstract shapes and colors
"
Wassily Kandinsky/Dominant Curve_wassily kandinsky.jpg,"a painting with abstract shapes and colors
"
Wassily Kandinsky/Composition VIII_wassily kandinsky.jpg,"an abstract painting with circles, lines and circles
"
Wassily Kandinsky/Improvisation 19_wassily kandinsky.jpg,"a painting of birds and other animals in a forest
"
Wassily Kandinsky/Soft Hard_wassily kandinsky.jpg,"a painting of a triangle
"
Wassily Kandinsky/Improvisation 31_wassily kandinsky.jpg,"a painting of an abstract painting with a boat and other objects
"
Wassily Kandinsky/Several Circles_wassily kandinsky.jpg,"a painting with circles and circles in black and blue
"
Wassily Kandinsky/Accent in Pink_wassily kandinsky.jpg,"an abstract painting with circles and circles
"
Wassily Kandinsky/Deepened Impulse_wassily kandinsky.jpg,"an abstract painting with circles and circles
"
Egon Schiele/Houses Under Dark Clouds_Egon Schiele.jpeg,"a painting of houses on the shore
"
Egon Schiele/Town Among Greenery_Egon Schiele.jpeg,"a painting of a town with houses and trees
"
Egon Schiele/Crescent of Houses_Egon Schiele.jpeg,"a painting of a town with houses and trees
"
Egon Schiele/Dark Tree Trunks_Egon Schiele.jpeg,"a painting of a forest with black birds in it
"
Egon Schiele/The Bridge_Egon Schiele.jpeg,"a painting of a bridge over a river
"
"Egon Schiele/Summer Landscape, Krumau_Egon Schiele.jpeg","a painting of houses on a hillside with a view of the ocean
"
Egon Schiele/Field of Flowers_Egon Schiele.jpeg,"a painting of a garden with flowers and trees
"
Egon Schiele/Still Life with Jug and Flowers_Egon Schiele.jpeg,"a painting of a vase with fruit and flowers
"
Egon Schiele/Landscape at Krumau_Egon Schiele_Egon Schiele.jpeg,"a painting of a town with houses and trees
"
Egon Schiele/Peasants’ Jug_Egon Schiele.jpeg,"a drawing of vases and pots on a table
"
Egon Schiele/Bridge Over a Stream.jpeg,"a painting of a bridge over a river with people walking on it
"
Egon Schiele/Small Tree in Late Autumn_Egon Schiele.jpeg,"a painting of a tree with no branches
"
Egon Schiele/Landscape with Houses_Egon Schiele.jpeg,"a painting of a field with houses in the distance
"
Egon Schiele/The Old City_Egon Schiele.jpeg,"a painting of a house and a church on a hill
"
Egon Schiele/forest Edge in Winter_Egon Schiele.jpeg,"a painting of trees in a field with a house in the background
"
Egon Schiele/Houses in Winter_Egon Schiele.jpeg,"a painting of a house in the snow
"
Egon Schiele/Still Life with Flowers_Egon Schiele.jpeg,"a painting of a table with a vase of flowers
"
Marcel Dunchamp/Anémic Cinéma_marcel duchamp.jpg,"a black and white photo of a spiral
"
Marcel Dunchamp/Self-Portrait in Profile_marcel duchamp.jpg,"a black and white photo of a man's head in a frame
"
Marcel Dunchamp/Coffee Mill_marcel duchamp.jpg,"a painting of a clock and a bird on a table
"
Marcel Dunchamp/Boîte-en-valise_marcel duchamp.jpg,"a wooden box with pictures and a suitcase
"
Marcel Dunchamp/Study for Chess Players_marcel duchamp.jpg,"a drawing of a man and woman in a square
"
Marcel Dunchamp/Readymade Malheureux_marcel duchamp.jpg,"a black and white photo of a book on a table
"
"Marcel Dunchamp/Wanted 2,000 Reward_marcel duchamp.jpg","original artperson, ``the man who shot liberty valance'' person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person"
Marcel Dunchamp/With Hidden Noise_marcel duchamp.jpg,"a rope on a metal stand with a sign on it
"
Marcel Dunchamp/Traveler’s Folding Item_marcel duchamp.jpg,"a table with a black cover on it
"
Marcel Dunchamp/Rotary Demisphere_marcel duchamp.jpg,"a lamp with a circular light on top of it
"
Marcel Dunchamp/Comb Duchamp_marcel duchamp.jpg,"a comb and a case with an orange case
"
Marcel Dunchamp/Chocolate Grinder No. 1_marcel duchamp.jpg,"a painting of a table with two chairs on it
"
Marcel Dunchamp/The Box in a Valise_marcel duchamp.jpg,"a box containing various items including a painting, a book and a picture frame
"
Marcel Dunchamp/The Green Box_marcel duchamp.jpg,"a green box with a photograph of a man sitting on a chair
"
Marcel Dunchamp/Chocolate Grinder No. 2_marcel duchamp.jpg,"a drawing of a chair with a table on top
"
Marcel Dunchamp/Air de Paris_marcel duchamp.jpg,"a glass ornament with writing on it hanging from a hook
"
Marcel Dunchamp/Rotoreliefs_marcel duchamp.jpg,"a circular sticker with a black and white design
"
Marcel Dunchamp/Rotary Glass Plates (Precision Optics)_marcel duchamp.jpg,"a large metal sculpture with a circular object on top
"
Marcel Dunchamp/Apolinère Enameled_marcel duchamp.jpg,"a poster advertising the apolline enameled bed
"
Marcel Dunchamp/Three Standard Stoppages_marcel duchamp.jpg,"a set of four wooden blades and a wooden handle
"
Marcel Dunchamp/The Chess Players_marcel duchamp.jpg,"a painting of a woman sitting in a chair
"
Marcel Dunchamp/Chess Game_marcel duchamp.jpg,"a black and white photo of chess pieces on a board
"
Marcel Dunchamp/Hat Rack_marcel duchamp.jpg,"a wooden octopus shaped object with many tentacles
"
André Derain/figures-from-a-carnival.jpg!Large.jpg,"a painting of people in costumes dancing
"
André Derain/estaque-1905.jpg!Large.jpg,"a painting of people walking in a park with trees
"
André Derain/banks-of-seine.jpg!Large.jpg,"a painting of people walking down a path near trees
"
André Derain/music-1904.jpg!Large.jpg,"a painting of people in a field with a tree in the background
"
André Derain/poplars-1900.jpg,"a painting of a green field with a house in the distance
"
André Derain/bacchus-dance-1906.jpg!Large.jpg,"a painting of three people in a field
"
André Derain/andréderain_la tamise au pont de westminster.jpg,"a painting of a bridge and people sitting on the grass
"
André Derain/henri-marisse-1905.jpg!Large.jpg,"a painting of a man with a beard and pipe
"
André Derain/landscape-near-chatou-1904-1.jpg!Large.jpg,"a painting of a village with orange and red houses
"
André Derain/Boats at Collioure.png,"a painting of boats docked at a marina
"
André Derain/Pool of London.jpg,"a painting of a boat in front of a building
"
André Derain/bridge-view-on-the-river-1905.jpg!Large.jpg,"a painting of a bridge and river at sunset
"
André Derain/andré derain _portraitde boby.jpg,"a painting of a boy with brown hair
"
André Derain/mountains-at-collioure-1905.jpg!Large.jpg,"a painting of a landscape with trees and mountains
"
André Derain/portrait-of-lucien-gilbert-1906.jpg!Large.jpg,"a painting of a man in a suit and hat sitting on a chair
"
André Derain/baker-s-hotel.jpg!Large.jpg,"a painting of a house with trees and a river
"
André Derain/view-of-collioure-1905.jpg,"a painting of a hillside with trees and houses
"
André Derain/waterloo-bridge-1906.jpg!Large.jpg,"a painting of a bridge and buildings at sunset
"
André Derain/road-to-calvary-1901.jpg!Large.jpg,"a painting of jesus carrying the cross
"
André Derain/andréderain_design for décor.jpg,"a painting of a blue and white pavilion with statues
"
André Derain/andré derain_paysage avec cloches.jpg,"a drawing of a field with trees and a fence
"
André Derain/still-life-on-the-red-table-1904.jpg!Large.jpg,"a painting of a table with a chair and a chair
"
André Derain/charing-cross-bridge-london-1906-1.jpg!Large.jpg,"a painting of a bridge and a river with a sunset in the background
"
André Derain/andréderain_bouquetdefleurs.jpg,"a painting of pink roses in a vase
"
"André Derain/Turning Road, L’Estaque 1906.jpg","a painting of a house and a fence in the distance
"
André Derain/self-portrait-with-a-cap.jpg!Large.jpg,"a painting of a man with a hat on
"
André Derain/dance.jpg!Large.jpg,"a painting of three people in a forest
"
André Derain/ball-of-soldiers-in-suresnes-1903.jpg!Large.jpg,"a painting of two women dancing with men in uniform
"
André Derain/andré-derain_costume project roman empire.jpg,"sketches of people in robes and hats
"
André Derain/andré derain _portrait of  a little girl.jpg,"a painting of a young girl wearing a hat
"
André Derain/andré derain_ thames boat.jpg,"a drawing of a boat on the water
"
André Derain/funeral-1899.jpg!Large.jpg,"a painting of people walking down a street
"
André Derain/andré derain _portrait de femme aux mains croisées.jpg,"a painting of a woman with red hair sitting down
"
André Derain/andré derain_nature morte.jpg,"a painting of a table with a vase and a bowl
"
André Derain/boats-at-collioure-1905.jpg!Large.jpg,"a painting of boats in the water with people on the shore
"
André Derain/westminster-1905.jpg!Large.jpg,"a painting of a city with a tower in the background
"
André Derain/effect-of-sun-on-the-water-london-1906.jpg!Large.jpg,"a painting of a road in the middle of a field
"
André Derain/fishing-boats-collioure-1905.jpg,"a painting of boats docked on the beach
"
André Derain/andré derain_paysage de provence.jpg,"a painting of a field with trees and hills
"
André Derain/yacht-1905.jpg!Large.jpg,"a painting of boats docked at a pier
"
Jean-Michel Basquiat/Eroica II – Jean-Michel Basquiat.jpeg,"a painting of a man sitting on a chair with a piece of paper on it
"
Jean-Michel Basquiat/Untitled (1981) – Jean-Michel Basquiat.jpeg,"the cover of the album by jay z
"
Jean-Michel Basquiat/Gri Gri – Jean-Michel Basquiat.jpeg,"the cover of the album, 'the great escape'
"
Jean-Michel Basquiat/It Hurts – Jean-Michel Basquiat.jpeg,"a painting with a green man and a red man
"
Jean-Michel Basquiat/5. The Dingoes That Park Their Brains with Their Gum – Jean-Michel Basquiat.jpeg,"a painting with a man in a top hat and a dog
"
Jean-Michel Basquiat/Wine of Babylon – Jean-Michel Basquiat.jpeg,"kidrobot x jean michel Basquiat wine of babylon
"
Jean-Michel Basquiat/Now’s the Time – Jean-Michel Basquiat.jpeg,"a framed black and white photograph of a record
"
Jean-Michel Basquiat/Pegasus – Jean-Michel Basquiat.jpeg,"a drawing of a city with a black and white background
"
Jean-Michel Basquiat/Untitled (Skull) – Jean-Michel Basquiat.jpeg,"a painting of a man with a face on it
"
Jean-Michel Basquiat/After Puno – Jean-Michel Basquiat.jpeg,"a framed painting on the wall in a room
"
Jean-Michel Basquiat/To Repel Ghosts – Jean-Michel Basquiat.jpeg,"a painting of a black man holding a stick
"
Jean-Michel Basquiat/download.jpeg,"a painting with various images and words on it
"
Jean-Michel Basquiat/Untitled (1985) – Jean-Michel Basquiat.jpeg,"a painting with many different colors and shapes
"
Jean-Michel Basquiat/Riding with Death – Jean-Michel Basquiat.jpeg,"a painting of a skeleton and a skeleton riding a horse
"
Jean-Michel Basquiat/Untitled (1982) – Jean-Michel Basquiat.jpeg,"a painting of a man with a face on it
"
Jean-Michel Basquiat/King Pleasure – Jean-Michel Basquiat.jpeg,"a painting is displayed on a wall in a museum
"
Jean-Michel Basquiat/Melting Point of Ice – Jean-Michel Basquiat.jpeg,"a painting with a black background and white writing
"
"Jean-Michel Basquiat/Caucasian, Negro – Jean-Michel Basquia.jpeg","a drawing of a man and a woman on a wall
"
Jean-Michel Basquiat/Eroica – Jean-Michel Basquiat.jpeg,"a drawing on a piece of paper with writing on it
"
Jean-Michel Basquiat/Light Blue Movers – Jean-Michel Basquiat.jpeg,"a painting of a man and a woman walking on a red chair
"
Jean-Michel Basquiat/Victor – Jean-Michel Basquiat.jpeg,"a book with a drawing of a man on it
"
Jean-Michel Basquiat/Untitled (1983) – Jean-Michel Basquiat.jpeg,"four paintings on display in a room
"
Jean-Michel Basquiat/Exu – Jean-Michel Basquiat.jpeg,"a book with a drawing of a person on it
"
Jean-Michel Basquiat/Untitled (Head) – Jean-Michel Basquia.jpeg,"a painting with a face and a head on it
"
Jean-Michel Basquiat/To Be Titled – Jean-Michel Basquiat.jpeg,"a painting with various words and images on it
"
Jean-Michel Basquiat/History of the Black People – Jean-Michel Basquiat.jpeg,"a poster with a picture of a man and a woman
"
Jean-Michel Basquiat/Wolf Sausage – Jean-Michel Basquiat.jpeg,"a painting with various items on it
"
Jean-Michel Basquiat/Undiscovered Genius of the Mississippi Delta – Jean-Michel Basquiat.jpeg,"a drawing of a man with a guitar and a boat
"
Jean-Michel Basquiat/Sienna – Jean-Michel Basquiat.jpeg,"a painting with various different colors and shapes
"
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Holi_Paritosh Sen.jpg,"a painting of four women dancing in front of a green background
"
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Untitled (The Market)_Paritosh Sen.jpg,"a painting of women in traditional clothing
"
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Woman eating bhutta_Paritosh Sen.jpg,"a painting of a woman in a red and white checkered dress
"
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Untitled (Two Women)_Paritosh Sen.jpg,"a painting of a woman with a hat and a knife
"
"Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Rain over Benares, India_Paritosh Sen.jpg","a painting of a city with clouds in the sky
"
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Refugees_Paritosh Sen.jpg,"a painting of people in a train station
"
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/The Family_Paritosh Sen.jpg,"a painting of a woman and her children
"
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Untitled (Portrait of a Woman)_Paritosh Sen.jpg,"an indian woman with a red sari and a blue scarf
"
